Speed,Torque
794,504
802,508
810,512
818,515
826,519
834,521
842,525
850,529
858,532
866,537
874,542
882,546
890,550
898,555
906,559
914,564
922,569
930,575
938,580
946,585
954,590
962,595
970,600
978,604
986,610
994,615
1002,621
1010,628
1018,635
1027,644
1035,652
1043,660
1051,670
1059,679
1067,688
1075,697
1083,707
1091,716
1099,724
1107,733
1115,742
1124,753
1132,765
1140,777
1148,790
1156,802
1165,815
1173,828
1181,840
1189,853
1196,864
1204,875
1212,883
1219,891
1226,895
1234,900
1241,905
1249,909
1257,912
1264,914
1272,918
1280,920
1288,923
1296,925
1303,927
1311,929
1319,930
1327,931
1335,932
1343,933
1351,934
1358,934
1366,935
1374,935
1382,935
1390,936
1398,936
1406,937
1414,935
1422,934
1430,933
1437,933
1445,931
1453,930
1461,928
1469,927
1477,927
1485,925
1493,924
1501,922
1508,919
1516,917
1524,913
1532,910
1540,907
1547,901
1553,878
1560,863
1568,852
1576,843
1585,836
1593,832
1602,828
1610,825
1619,823
1627,821
1635,820
1643,818
1652,816
1660,814
1668,812
1676,810
1684,807
1692,805
1700,802
1707,798
1715,795
1723,792
1731,788
1739,785
1747,780
1755,777
1763,773
1771,769
1779,765
1787,762
1795,759
1803,756
1811,752
1819,749
1827,745
1835,741
1843,738
1850,734
1858,731
1866,727
1874,724
1882,721
1890,718
1898,715
1906,711
1914,707
1922,704
1930,700
1938,696
1946,694
1954,690
1962,687
1970,683
1978,680
1986,677
1994,675
2002,672
2010,668
2018,665
2026,662
2034,658
2042,655
2050,651
2058,648
2066,645
2074,641
2082,637
2090,634
2097,629
2105,626
2113,621
2121,617
2129,613
2137,609
2145,605
2153,602
2161,598
2169,594
2177,591
2185,587
2193,582
2200,575
2208,567
2214,562
2218,558
2221,556
2222,555
2223,554
2224,553